date,global_refinary_output,petrol_pump_price,petrol_duty_per_litre,petrol_vat,diesel_pump_price,diesel_duty_per_litre,diesel_vat,avg_stock_level,avg_road_fuel_deliveries,avg_road_fuel_sales,gbp_to_usd_xrate,brent_crude_price,brent_crude_open_price,brent_crude_high_price,brent_crude_low_price,brent_crude_volume_traded,ngas_price,ngas_open_price,ngas_high_price,ngas_low_price,brent_crude_price_range
2021-04-25,288067.2,125.75428571428571,57.95,20.0,129.73000000000002,57.95,20.0,36.60285598,6333.0,6092.0,1.38735,26.95,26.92,27.14,26.7,81650,0.012833333333333334,0.012733333333333333,0.012766666666666666,0.012566666666666667,0.4400000000000013
2021-05-02,289812.03225806454,126.04857142857144,57.95,20.0,129.96714285714285,57.95,20.0,36.80621671,6069.0,5527.0,1.38165,27.54,28.07,28.08,27.47,100220,0.0132,0.013049999999999999,0.01335,0.013000000000000001,0.6099999999999994
2021-05-09,289224.2580645161,126.46714285714286,57.95,20.0,130.36857142857144,57.95,20.0,41.1032696,6200.0,5780.0,1.39745,28.25,28.24,28.3,27.92,109110,0.0132,0.013166666666666667,0.0133,0.013033333333333333,0.379999999999999
2021-05-16,288636.48387096776,127.09571428571428,57.95,20.0,130.9442857142857,57.95,20.0,40.86404768,5914.0,5777.0,1.412329,28.23,27.65,28.24,27.59,52680,0.013833333333333333,0.013566666666666666,0.013933333333333332,0.0135,0.6499999999999986
2021-05-23,288048.70967741933,127.79,57.95,20.0,131.45000000000002,57.95,20.0,39.75225238,5838.0,5930.0,1.41505,27.62,26.94,27.63,26.52,55970,0.013066666666666666,0.013066666666666667,0.013133333333333334,0.012933333333333333,1.1099999999999994
2021-05-30,287460.93548387097,128.11285714285714,57.95,20.0,131.77714285714285,57.95,20.0,34.5714165,5778.0,6397.0,1.4202866666666667,28.77,28.65,28.9,28.64,58360,0.0135,0.01335,0.013600000000000001,0.01325,0.259999999999998
2021-06-06,290283.3333333333,128.61285714285714,57.95,20.0,132.29999999999998,57.95,20.0,31.98703119,5618.0,6319.0,1.41607,29.62,29.6,29.87,29.55,37420,0.013566666666666666,0.013633333333333334,0.0137,0.013366666666666667,0.3200000000000003
2021-06-13,294469.8,129.35857142857142,57.95,20.0,133.05714285714285,57.95,20.0,33.0482889,6071.0,6158.0,1.41075,30.0,30.05,30.16,29.94,77360,0.014533333333333334,0.0145,0.014566666666666667,0.014366666666666666,0.21999999999999886
2021-06-20,298656.26666666666,130.01,57.95,20.0,133.6157142857143,57.95,20.0,34.64629456,6177.0,6182.0,1.38115,30.31,29.88,30.38,29.77,83630,0.014166666666666666,0.014,0.014233333333333334,0.013933333333333332,0.6099999999999994
2021-06-27,302842.73333333334,130.64,57.95,20.0,134.18714285714287,57.95,20.0,35.40817231,6088.0,6250.0,1.38785,31.27,31.1,31.26,31.02,17130,0.015733333333333335,0.015333333333333332,0.01566666666666667,0.015333333333333332,0.240000000000002
2021-07-04,304971.29032258067,131.56142857142856,57.95,20.0,134.15,57.95,20.0,35.60103055,5760.0,5957.0,1.38225,31.67,31.53,31.67,31.34,16350,0.016333333333333335,0.016166666666666666,0.016300000000000002,0.016133333333333333,0.33000000000000185
2021-07-11,304355.96774193546,132.35999999999999,57.95,20.0,135.12428571428572,57.95,20.0,37.32813225,5760.0,5714.0,1.39025,31.52,31.0,31.5,31.0,18330,0.0162,0.016033333333333333,0.016433333333333335,0.015966666666666667,0.5
2021-07-18,303740.6451612903,133.09571428571428,57.95,20.0,135.85571428571427,57.95,20.0,37.09127228,5865.0,6340.0,1.37745,30.74,30.51,30.83,30.33,8180,0.0162,0.016066666666666667,0.016366666666666668,0.016033333333333333,0.5
2021-07-25,303125.32258064515,133.44,57.95,20.0,136.1642857142857,57.95,20.0,35.4535224,5797.0,6092.0,1.37485,30.76,30.68,30.78,30.66,5650,0.017766666666666667,0.017633333333333334,0.018033333333333335,0.0176,0.120000000000001
2021-08-01,302510.0,134.1057142857143,57.95,20.0,136.79142857142855,57.95,20.0,35.57485765,6117.0,6229.0,1.3905,31.6,31.38,31.66,31.38,17580,0.017433333333333335,0.0175,0.0177,0.017333333333333336,0.28000000000000114
2021-08-08,298987.1935483871,134.63,57.95,20.0,137.25,57.95,20.0,37.03915445,6111.0,5971.0,1.38775,29.92,30.2,30.51,29.78,29040,0.017966666666666666,0.0183,0.0183,0.0179,0.7300000000000004
2021-08-15,295464.3870967742,134.76000000000002,57.95,20.0,136.84714285714287,57.95,20.0,36.61110644,6007.0,6182.0,1.3865,30.0,29.93,30.02,29.9,14570,0.017366666666666666,0.016999999999999998,0.017533333333333335,0.01693333333333333,0.120000000000001
2021-08-22,291941.5806451613,134.69285714285715,57.95,20.0,137.09571428571428,57.95,20.0,36.48400728,5858.0,6136.0,1.36225,27.86,27.98,27.98,27.54,23400,0.017033333333333334,0.016966666666666665,0.0172,0.016966666666666665,0.4400000000000013
2021-08-29,288418.77419354836,134.66285714285715,57.95,20.0,137.1157142857143,57.95,20.0,34.17480792,5890.0,5944.0,1.3765,30.38,30.2,30.38,30.1,33910,0.019049999999999997,0.0187,0.019049999999999997,0.01845,0.2799999999999976
2021-09-05,289342.6,134.74571428571429,57.95,20.0,137.17857142857142,57.95,20.0,35.6820328,5799.0,6396.0,1.3865,31.0,30.97,31.26,30.91,25020,0.02036666666666667,0.0204,0.0207,0.020333333333333335,0.3500000000000014
2021-09-12,293601.4,134.75142857142856,57.95,20.0,137.19,57.95,20.0,32.90598664,5866.0,6395.0,1.3835,30.89,30.57,31.04,30.57,38190,0.022166666666666664,0.021599999999999998,0.0223,0.021366666666666666,0.46999999999999886
2021-09-19,297860.2,134.84428571428572,57.95,20.0,137.32714285714286,57.95,20.0,30.26424893,5755.0,6367.0,1.37405,31.78,31.99,32.0,31.69,13420,0.022433333333333333,0.0222,0.022633333333333335,0.0219,0.3099999999999987
2021-09-26,302119.0,135.14285714285714,57.95,20.0,137.8642857142857,57.95,20.0,14.84489808,7385.0,8183.0,1.3685,32.9,32.76,32.91,32.67,13640,0.023533333333333333,0.022733333333333335,0.023466666666666667,0.022533333333333332,0.23999999999999488
2021-10-03,305430.6129032258,135.97,57.95,20.0,139.02142857142857,57.95,20.0,21.96994472,6979.0,6238.0,1.3545,33.6,33.45,33.68,33.24,37190,0.024733333333333333,0.02493333333333333,0.0259,0.024300000000000002,0.4399999999999977
2021-10-10,306374.2580645161,137.01714285714286,57.95,20.0,140.45142857142858,57.95,20.0,32.64611071,6410.0,5706.0,1.36135,35.6,35.58,35.7,35.26,47430,0.023466666666666667,0.024666666666666667,0.0249,0.0233,0.44000000000000483
2021-10-17,307317.9032258064,139.13285714285715,57.95,20.0,142.82857142857142,57.95,20.0,41.93454999,5921.0,5654.0,1.3745,36.35,36.33,36.44,36.2,24850,0.023100000000000002,0.0232,0.0238,0.0229,0.23999999999999488
2021-10-24,308261.5483870968,141.4742857142857,57.95,20.0,145.51285714285714,57.95,20.0,44.73896078,5458.0,5727.0,1.37605,36.3,35.98,36.6,35.98,29940,0.024233333333333336,0.023466666666666667,0.024433333333333335,0.023433333333333334,0.6200000000000045
2021-10-31,309205.1935483871,143.42999999999998,57.95,20.0,147.25428571428571,57.95,20.0,41.80731652,5376.0,5906.0,1.3685,36.03,36.25,36.31,35.7,26790,0.022500000000000003,0.0231,0.0234,0.022366666666666667,0.6099999999999994
2021-11-07,309980.2,144.72857142857143,57.95,20.0,148.6457142857143,57.95,20.0,42.48472731,5803.0,6179.0,1.3498,35.72,35.09,35.74,34.9,22630,0.02333333333333333,0.023533333333333333,0.023666666666666666,0.02273333333333333,0.8400000000000034
2021-11-14,310727.1,145.73142857142858,57.95,20.0,149.62857142857143,57.95,20.0,43.76791596,6001.0,6019.0,1.3415,35.53,35.35,35.61,35.21,14210,0.0204,0.0206,0.020999999999999998,0.02,0.3999999999999986
2021-11-21,311474.0,146.7442857142857,57.95,20.0,150.59142857142857,57.95,20.0,43.28852005,5551.0,6206.0,1.3445,34.08,35.49,35.5,33.94,39070,0.020233333333333332,0.020633333333333333,0.0207,0.0198,1.5600000000000023
